Image_ID,Engine,Engine_Final_Decision,Engine_Confidence,Method,Method_Decision,Method_Confidence,Method_Reason,Localized,Annotation_Source
0341cc4e-73c8-4f12-87c6-732f4d94b199_jpg.rf.7ecec7d9cb11eb06d8e310a95b0dc188.jpg,Fire Detection,Fire,1.0,vit_fire,Fire,0.999,Fire,No,No
0341cc4e-73c8-4f12-87c6-732f4d94b199_jpg.rf.7ecec7d9cb11eb06d8e310a95b0dc188.jpg,Fire Detection,Fire,1.0,opencv_flame,Flame Color Detected,1.0,"6 region(s), image_percent=0.2367, min_area=346.1",Yes,Yes
0341cc4e-73c8-4f12-87c6-732f4d94b199_jpg.rf.7ecec7d9cb11eb06d8e310a95b0dc188.jpg,Fire Detection,Fire,1.0,clip_fire_evidence,Visible Fire,0.854,vit_fire 0.999 >= 0.6; flame_color=0.2367,No,No
056bfb4e-331b-4a89-b282-3bc809acb9bb_jpg.rf.d4e024f57c523fb115e52553edcc3578.jpg,Fire Detection,Fire,1.0,vit_fire,Fire,0.999,Fire,No,No
056bfb4e-331b-4a89-b282-3bc809acb9bb_jpg.rf.d4e024f57c523fb115e52553edcc3578.jpg,Fire Detection,Fire,1.0,opencv_flame,Flame Color Detected,1.0,"4 region(s), image_percent=0.0746, min_area=346.1",Yes,Yes
056bfb4e-331b-4a89-b282-3bc809acb9bb_jpg.rf.d4e024f57c523fb115e52553edcc3578.jpg,Fire Detection,Fire,1.0,clip_fire_evidence,Visible Fire,0.711,vit_fire 0.999 >= 0.6; flame_color=0.0746,No,No
0ce61215-6d34-49f9-aa6d-5f0feed430f8_jpg.rf.d77fd2f7f1c62515a4946b3cf50bc323.jpg,Fire Detection,Fire,1.0,vit_fire,Fire,0.998,Fire,No,No
0ce61215-6d34-49f9-aa6d-5f0feed430f8_jpg.rf.d77fd2f7f1c62515a4946b3cf50bc323.jpg,Fire Detection,Fire,1.0,opencv_flame,Flame Color Detected,1.0,"4 region(s), image_percent=0.0821, min_area=346.1",Yes,Yes
0ce61215-6d34-49f9-aa6d-5f0feed430f8_jpg.rf.d77fd2f7f1c62515a4946b3cf50bc323.jpg,Fire Detection,Fire,1.0,clip_fire_evidence,Visible Fire,0.707,vit_fire 0.998 >= 0.6; flame_color=0.0821,No,No
0d129596-761e-40bd-b132-ada4ade34a82_jpg.rf.150d5b8b6c3ec0ccf19e8a958a900581.jpg,Fire Detection,Fire,1.0,vit_fire,Fire,0.999,Fire,No,No
0d129596-761e-40bd-b132-ada4ade34a82_jpg.rf.150d5b8b6c3ec0ccf19e8a958a900581.jpg,Fire Detection,Fire,1.0,opencv_flame,Flame Color Detected,1.0,"6 region(s), image_percent=0.0681, min_area=346.1",Yes,Yes
0d129596-761e-40bd-b132-ada4ade34a82_jpg.rf.150d5b8b6c3ec0ccf19e8a958a900581.jpg,Fire Detection,Fire,1.0,clip_fire_evidence,Visible Fire,0.6,vit_fire 0.999 >= 0.6; flame_color=0.0681,No,No
0d1ad876-45a6-46c0-aaaa-c33c4324ba82_jpg.rf.dd763d52bfaab76c7a6b3a19b09b84da.jpg,Fire Detection,Fire,1.0,vit_fire,Fire,0.999,Fire,No,No
0d1ad876-45a6-46c0-aaaa-c33c4324ba82_jpg.rf.dd763d52bfaab76c7a6b3a19b09b84da.jpg,Fire Detection,Fire,1.0,opencv_flame,Flame Color Detected,1.0,"5 region(s), image_percent=0.1736, min_area=346.1",Yes,Yes
0d1ad876-45a6-46c0-aaaa-c33c4324ba82_jpg.rf.dd763d52bfaab76c7a6b3a19b09b84da.jpg,Fire Detection,Fire,1.0,clip_fire_evidence,Visible Fire,0.665,vit_fire 0.999 >= 0.6; flame_color=0.1736,No,No
0e827fe2-bd92-48df-a592-6674930e85fc_jpg.rf.e422222b6016873326209d293e178360.jpg,Fire Detection,Fire,1.0,vit_fire,Fire,0.999,Fire,No,No
0e827fe2-bd92-48df-a592-6674930e85fc_jpg.rf.e422222b6016873326209d293e178360.jpg,Fire Detection,Fire,1.0,opencv_flame,Flame Color Detected,1.0,"6 region(s), image_percent=0.2166, min_area=346.1",Yes,Yes
0e827fe2-bd92-48df-a592-6674930e85fc_jpg.rf.e422222b6016873326209d293e178360.jpg,Fire Detection,Fire,1.0,clip_fire_evidence,Visible Fire,0.967,vit_fire 0.999 >= 0.6; flame_color=0.2166,No,No
11c5f0e8-f0ea-45a1-bcc2-dfe3b58c576a_jpg.rf.5a3022a25a4930cc0fdfe2123cebea81.jpg,Fire Detection,Fire,1.0,vit_fire,Fire,0.998,Fire,No,No
11c5f0e8-f0ea-45a1-bcc2-dfe3b58c576a_jpg.rf.5a3022a25a4930cc0fdfe2123cebea81.jpg,Fire Detection,Fire,1.0,opencv_flame,Flame Color Detected,1.0,"2 region(s), image_percent=0.0278, min_area=346.1",Yes,Yes
11c5f0e8-f0ea-45a1-bcc2-dfe3b58c576a_jpg.rf.5a3022a25a4930cc0fdfe2123cebea81.jpg,Fire Detection,Fire,1.0,clip_fire_evidence,Visible Fire,0.767,vit_fire 0.998 >= 0.6; flame_color=0.0278,No,No
130055ff-b422-45e1-9ff2-edc359690f32_jpg.rf.759bfa89f9bd226816797aa38f5ee1ee.jpg,Fire Detection,Fire,1.0,vit_fire,Fire,0.999,Fire,No,No
130055ff-b422-45e1-9ff2-edc359690f32_jpg.rf.759bfa89f9bd226816797aa38f5ee1ee.jpg,Fire Detection,Fire,1.0,opencv_flame,Flame Color Detected,1.0,"5 region(s), image_percent=0.1392, min_area=346.1",Yes,Yes
130055ff-b422-45e1-9ff2-edc359690f32_jpg.rf.759bfa89f9bd226816797aa38f5ee1ee.jpg,Fire Detection,Fire,1.0,clip_fire_evidence,Visible Fire,0.673,vit_fire 0.999 >= 0.6; flame_color=0.1392,No,No
13d44c3b-f6dd-46c9-a705-7c2a00bcc3af_jpg.rf.543bc095b6603c9636fcc1d79665747d.jpg,Fire Detection,Fire,1.0,vit_fire,Fire,0.999,Fire,No,No
13d44c3b-f6dd-46c9-a705-7c2a00bcc3af_jpg.rf.543bc095b6603c9636fcc1d79665747d.jpg,Fire Detection,Fire,1.0,opencv_flame,Flame Color Detected,1.0,"1 region(s), image_percent=0.0539, min_area=346.1",Yes,Yes
13d44c3b-f6dd-46c9-a705-7c2a00bcc3af_jpg.rf.543bc095b6603c9636fcc1d79665747d.jpg,Fire Detection,Fire,1.0,clip_fire_evidence,Visible Fire,0.752,vit_fire 0.999 >= 0.6; flame_color=0.0539,No,No
1695b682-5a88-44cf-992a-968b87172675_jpg.rf.09e832514a3d75abe11d6b8cec3cecc2.jpg,Fire Detection,Fire,1.0,vit_fire,Fire,0.998,Fire,No,No
1695b682-5a88-44cf-992a-968b87172675_jpg.rf.09e832514a3d75abe11d6b8cec3cecc2.jpg,Fire Detection,Fire,1.0,opencv_flame,Flame Color Detected,1.0,"2 region(s), image_percent=0.1218, min_area=346.1",Yes,Yes
