Image_ID,Engine,Engine_Final_Decision,Engine_Confidence,Method,Method_Decision,Method_Confidence,Method_Reason,Localized,Annotation_Source
0341cc4e-73c8-4f12-87c6-732f4d94b199_jpg.rf.7ecec7d9cb11eb06d8e310a95b0dc188.jpg,Smoke Detection,Smoke,0.822,clip_smoke,No Smoke,0.765,"best_label=No Smoke, confidence=0.765, threshold=0.42",No,No
0341cc4e-73c8-4f12-87c6-732f4d94b199_jpg.rf.7ecec7d9cb11eb06d8e310a95b0dc188.jpg,Smoke Detection,Smoke,0.822,clip_smoke_plume,Smoke,0.672,"best_label=Large Smoke Plume, confidence=0.672, threshold=0.34",No,No
0341cc4e-73c8-4f12-87c6-732f4d94b199_jpg.rf.7ecec7d9cb11eb06d8e310a95b0dc188.jpg,Smoke Detection,Smoke,0.822,opencv_smoke,Smoke Color Detected,1.0,"3 region(s), image_percent=0.3207, threshold=0.015, min_area=519.2",Yes,Yes
0341cc4e-73c8-4f12-87c6-732f4d94b199_jpg.rf.7ecec7d9cb11eb06d8e310a95b0dc188.jpg,Smoke Detection,Smoke,0.822,opencv_dark_smoke,Dark Smoke Detected,1.0,"3 region(s), image_percent=0.4640, threshold=0.01, min_area=346.1",Yes,Yes
0341cc4e-73c8-4f12-87c6-732f4d94b199_jpg.rf.7ecec7d9cb11eb06d8e310a95b0dc188.jpg,Smoke Detection,Smoke,0.822,opencv_bright_plume,Bright Smoke Plume Detected,1.0,"5 region(s), image_percent=0.2547, threshold=0.02, texture_score=12.63, min_area=692.2",Yes,Yes
056bfb4e-331b-4a89-b282-3bc809acb9bb_jpg.rf.d4e024f57c523fb115e52553edcc3578.jpg,Smoke Detection,Smoke,0.952,clip_smoke,Smoke,0.562,"best_label=Smoke, confidence=0.562, threshold=0.42",No,No
056bfb4e-331b-4a89-b282-3bc809acb9bb_jpg.rf.d4e024f57c523fb115e52553edcc3578.jpg,Smoke Detection,Smoke,0.952,clip_smoke_plume,Smoke,0.802,"best_label=Large Smoke Plume, confidence=0.802, threshold=0.34",No,No
056bfb4e-331b-4a89-b282-3bc809acb9bb_jpg.rf.d4e024f57c523fb115e52553edcc3578.jpg,Smoke Detection,Smoke,0.952,opencv_smoke,Smoke Color Detected,1.0,"3 region(s), image_percent=0.5836, threshold=0.015, min_area=519.2",Yes,Yes
056bfb4e-331b-4a89-b282-3bc809acb9bb_jpg.rf.d4e024f57c523fb115e52553edcc3578.jpg,Smoke Detection,Smoke,0.952,opencv_dark_smoke,Dark Smoke Detected,1.0,"3 region(s), image_percent=0.4426, threshold=0.01, min_area=346.1",Yes,Yes
056bfb4e-331b-4a89-b282-3bc809acb9bb_jpg.rf.d4e024f57c523fb115e52553edcc3578.jpg,Smoke Detection,Smoke,0.952,opencv_bright_plume,Bright Smoke Plume Detected,1.0,"1 region(s), image_percent=0.6376, threshold=0.02, texture_score=9.47, min_area=692.2",Yes,Yes
0ce61215-6d34-49f9-aa6d-5f0feed430f8_jpg.rf.d77fd2f7f1c62515a4946b3cf50bc323.jpg,Smoke Detection,Smoke,1.0,clip_smoke,Smoke,0.921,"best_label=Smoke, confidence=0.921, threshold=0.42",No,No
0ce61215-6d34-49f9-aa6d-5f0feed430f8_jpg.rf.d77fd2f7f1c62515a4946b3cf50bc323.jpg,Smoke Detection,Smoke,1.0,clip_smoke_plume,Smoke,0.943,"best_label=Large Smoke Plume, confidence=0.943, threshold=0.34",No,No
0ce61215-6d34-49f9-aa6d-5f0feed430f8_jpg.rf.d77fd2f7f1c62515a4946b3cf50bc323.jpg,Smoke Detection,Smoke,1.0,opencv_smoke,Smoke Color Detected,1.0,"1 region(s), image_percent=0.7048, threshold=0.015, min_area=519.2",Yes,Yes
0ce61215-6d34-49f9-aa6d-5f0feed430f8_jpg.rf.d77fd2f7f1c62515a4946b3cf50bc323.jpg,Smoke Detection,Smoke,1.0,opencv_dark_smoke,Dark Smoke Detected,1.0,"1 region(s), image_percent=0.8548, threshold=0.01, min_area=346.1",Yes,Yes
0ce61215-6d34-49f9-aa6d-5f0feed430f8_jpg.rf.d77fd2f7f1c62515a4946b3cf50bc323.jpg,Smoke Detection,Smoke,1.0,opencv_bright_plume,Bright Smoke Plume Detected,1.0,"1 region(s), image_percent=0.6614, threshold=0.02, texture_score=5.56, min_area=692.2",Yes,Yes
0d129596-761e-40bd-b132-ada4ade34a82_jpg.rf.150d5b8b6c3ec0ccf19e8a958a900581.jpg,Smoke Detection,No Smoke,0.988,clip_smoke,No Smoke,0.988,"best_label=No Smoke, confidence=0.988, threshold=0.42",No,No
0d129596-761e-40bd-b132-ada4ade34a82_jpg.rf.150d5b8b6c3ec0ccf19e8a958a900581.jpg,Smoke Detection,No Smoke,0.988,clip_smoke_plume,Smoke,0.898,"best_label=Thin Smoke Or Haze, confidence=0.898, threshold=0.34",No,No
0d129596-761e-40bd-b132-ada4ade34a82_jpg.rf.150d5b8b6c3ec0ccf19e8a958a900581.jpg,Smoke Detection,No Smoke,0.988,opencv_smoke,Smoke Color Detected,1.0,"4 region(s), image_percent=0.3990, threshold=0.015, min_area=519.2",Yes,Yes
0d129596-761e-40bd-b132-ada4ade34a82_jpg.rf.150d5b8b6c3ec0ccf19e8a958a900581.jpg,Smoke Detection,No Smoke,0.988,opencv_dark_smoke,Dark Smoke Detected,1.0,"4 region(s), image_percent=0.6051, threshold=0.01, min_area=346.1",Yes,Yes
0d129596-761e-40bd-b132-ada4ade34a82_jpg.rf.150d5b8b6c3ec0ccf19e8a958a900581.jpg,Smoke Detection,No Smoke,0.988,opencv_bright_plume,Bright Smoke Plume Detected,1.0,"2 region(s), image_percent=0.3739, threshold=0.02, texture_score=15.11, min_area=692.2",Yes,Yes
0d1ad876-45a6-46c0-aaaa-c33c4324ba82_jpg.rf.dd763d52bfaab76c7a6b3a19b09b84da.jpg,Smoke Detection,Smoke,1.0,clip_smoke,No Smoke,0.791,"best_label=No Smoke, confidence=0.791, threshold=0.42",No,No
