Image_ID,Scene_Type,Objects_Detected,Text_Extracted,Fire_Detection_Confidence,Smoke_Detection_Confidence,Fire_Classification_Confidence,Scene_Decision_Confidence
0341cc4e-73c8-4f12-87c6-732f4d94b199_jpg.rf.7ecec7d9cb11eb06d8e310a95b0dc188.jpg,Forest Fire,person,,1.0,0.822,0.601,0.911
056bfb4e-331b-4a89-b282-3bc809acb9bb_jpg.rf.d4e024f57c523fb115e52553edcc3578.jpg,Forest Fire,None,,1.0,0.952,0.846,0.976
0ce61215-6d34-49f9-aa6d-5f0feed430f8_jpg.rf.d77fd2f7f1c62515a4946b3cf50bc323.jpg,Grass Fire,None,,1.0,1.0,0.954,1.0
0d129596-761e-40bd-b132-ada4ade34a82_jpg.rf.150d5b8b6c3ec0ccf19e8a958a900581.jpg,Structure Fire,"bus, person",,1.0,0.988,0.962,1.0
0d1ad876-45a6-46c0-aaaa-c33c4324ba82_jpg.rf.dd763d52bfaab76c7a6b3a19b09b84da.jpg,Structure Fire,None,,1.0,1.0,0.43,1.0
0e827fe2-bd92-48df-a592-6674930e85fc_jpg.rf.e422222b6016873326209d293e178360.jpg,Grass Fire,person,"Watermark: ""SEH"" 20%",1.0,0.988,0.65,1.0
11c5f0e8-f0ea-45a1-bcc2-dfe3b58c576a_jpg.rf.5a3022a25a4930cc0fdfe2123cebea81.jpg,Vehicle Fire,None,,1.0,0.854,0.694,1.0
130055ff-b422-45e1-9ff2-edc359690f32_jpg.rf.759bfa89f9bd226816797aa38f5ee1ee.jpg,Forest Fire,None,,1.0,0.978,0.793,0.989
13d44c3b-f6dd-46c9-a705-7c2a00bcc3af_jpg.rf.543bc095b6603c9636fcc1d79665747d.jpg,Other Fire,None,,1.0,0.557,0.391,0.778
1695b682-5a88-44cf-992a-968b87172675_jpg.rf.09e832514a3d75abe11d6b8cec3cecc2.jpg,Grass Fire,None,,1.0,1.0,0.726,1.0
1_15_jpg.rf.a1b54d312d9b4f7ddc6f3faaeb077bfa.jpg,Grass Fire,None,,0.998,0.985,0.484,0.992
1_20_jpg.rf.65e5e891a4a66be744333f4f3012a282.jpg,Structure Fire,None,,1.0,0.889,0.582,0.945
1_24_jpg.rf.64a74d96fba64ad869b830e2816c1f91.jpg,Forest Fire,person,,1.0,1.0,0.376,1.0
1_50_jpg.rf.8bc2d199da84a18a9d03bfee30aaa275.jpg,Smoke Only,None,,0.002,1.0,0.0,1.0
1_57_jpg.rf.ad1f03db8d726a3efac9323a44f0db64.jpg,Structure Fire,None,,1.0,0.681,0.997,1.0
1_62_jpg.rf.c26b8e1b094d2e58553097c2301f861c.jpg,No Fire / Unknown Scene,None,,0.001,0.878,0.0,0.001
1_65_jpg.rf.041876ccb927a9423fa5a1ba1ba634df.jpg,No Fire / Unknown Scene,None,,0.001,0.853,0.0,0.001
1_68_jpg.rf.e041b3a8a2e7ee105f663ac4190c8341.jpg,Vehicle Fire,"car, person",,1.0,1.0,0.445,1.0
1_99_jpg.rf.0a3f046fc41c3daec7afbd59407d1a81.jpg,Smoke Only,None,,0.0,1.0,0.0,1.0
1cc3da68-df9a-447b-b388-f082005a7f6f_jpg.rf.641a9b5dbfe2a1469e60f449fe0f137f.jpg,Grass Fire,None,,1.0,0.953,0.574,0.977
1f456a16-7957-4ba4-bcb1-33f78c9c150a_jpg.rf.ec4026c9672f0d7f5453231639817a57.jpg,Vehicle Fire,person,,1.0,0.904,0.998,1.0
20200713170134_jpg.rf.812ead8643f689962790e5f1bd1e502a.jpg,Structure Fire,None,,1.0,0.888,0.992,1.0
20200713170657_jpg.rf.3443495fb0243e9569bc99d34f7cfe8a.jpg,Vehicle Fire,car,,1.0,0.863,0.995,1.0
20200713173438_jpg.rf.989787aeffbab316f4c9e616c453136c.jpg,Forest Fire,None,,1.0,0.871,0.625,0.936
20848df3-104b-4e7e-9e08-006464e37263_jpg.rf.eed337acb4f6613042351696b4e7a976.jpg,Vehicle Fire,car,,1.0,0.888,0.993,0.944
236b53f0-583c-4dd4-a2c4-c00d85da4b4c_jpg.rf.224a750dc2a041458ea54becb2ed106a.jpg,Forest Fire,person,,1.0,0.905,0.918,0.952
23c030c5-fecc-458b-95c2-6d42e107401f_jpg.rf.973478feda30c4573787a4986a133759.jpg,Other Fire,None,,1.0,0.832,0.467,1.0
249c71e5-cf9e-4596-b585-f344954d63f5_jpg.rf.02d3b88e621e52d8ca36d2e03dd5ebe1.jpg,Vehicle Fire,truck,,1.0,1.0,0.528,1.0
24d382e8-e793-4d93-9d87-b4207128b4a1_jpg.rf.37bf51d9b2a450be980debc4a57f9369.jpg,Grass Fire,person,,0.998,0.643,0.833,0.821
2527edfa-c5f6-4f95-94b7-11c78008a346_jpg.rf.16938aa1eee6040c27f4a9992189e032.jpg,Vehicle Fire,truck,,1.0,1.0,0.78,1.0
27689df2-fccd-427b-b168-256d8324fc67_jpg.rf.2c97579af9eefb4e0abdfc6a63271557.jpg,Grass Fire,None,,1.0,0.946,0.5,1.0
27ce2a2a-640a-48dc-9a61-c7f3a2596369_jpg.rf.003c365c2ddecafb62b251762c05ff30.jpg,Structure Fire,None,,1.0,1.0,0.509,1.0
299d5ab1-84ae-44fb-91bb-eea0a51ab8d8_jpg.rf.1fc47bfc3669672257abb585a5fb27c2.jpg,Vehicle Fire,"car, person",,1.0,1.0,0.878,1.0
2b8c0e0d-4336-4e94-9dd8-7f26c15dc542_jpg.rf.d3939cbc68d948e0004161a28242595a.jpg,Forest Fire,None,,1.0,1.0,0.54,1.0
3035b58a-eba8-4cc2-93dd-ad5cc48ebb2e_jpg.rf.fd0074936ec86403746c7f6617b4f4e0.jpg,Forest Fire,None,,1.0,0.895,0.464,0.947
310e9436-ca6a-492b-a121-73a806463064_jpg.rf.84a6b546958f387ad5f334bfa751bd43.jpg,Grass Fire,None,,1.0,1.0,0.459,1.0
