Report_ID,Incident_Type,Date,Location,Agency,Officer,Summary,Suspect_Description,Outcome,Source_Pages
RPT_001,Vendor Capability Statement,"May 26, 2015","Bentonville, Arkansas 72712",Benton County Sheriff's Office,Sheriff Kelley Cradduck Major,"Major Nathan Atchison Chief Deputy R.L. Conner Major Shawn Holloway | Bentonville, Arkansas 72712 Phone: 479-271-1011 (Detention) 479-271-1008 (Admin) | RE: Mine Resistant Ambush Protected vehicle acquired through 1033 Program | On April 29, 2014, the Benton County Sheriffs Office obtained a Mine Re",N/A,Policy Implemented,1-2
RPT_002,Policies and Procedures,6/1/15,,Benton County Sheriff's Office,,The Benton County Sheriff's Office obtained a Mine Resistant Ambush Protected (MRAP) | Vehicle through the LESO 1033 Program. The purpose of this vehicle is that it will be utilized | by the Benton County Sheriff's Office for the protection of law enforcement officers and | citizens during high risk,N/A,Approved,3-4
RPT_003,Training Lesson Plan,4/24/2015,,The Benton Police Department,Capt. Scotty L. Hodges,"Capt. Scotty L. Hodges, Benton Police Department | This 4 hour block of training will consist of class room training, as well as | hands on training. Driving and practical skills will be applied. | Students will become familiar with the basic operations of the ARV. | The student will be able to iden",N/A,Approved,5-8
RPT_004,Policy/Correspondence,"July 1, 2014","Mike BEEBE East Camden, Arkansas 71711",Bryant Police Department,Corporal Mike Calnan Bentonville,"GOVERNOR LAW ENFORCEMENT TRAINING ACADEMY _ OFFICE OF LAW ENFORCEMENT STANDARDS DIRECTOR | P.O. Box 3106 #4 State Police Plaza Drive KEN JONES | Mike BEEBE East Camden, Arkansas 71711 Littie Rock, AR 72209 | (870) 574-1810 FAX: (870) 574-2706 (501) 682-2260 FAX: (501) 682-1582 | In response to your ",N/A,Approved,9-10
RPT_005,Policy/Correspondence,,"CABOT, AR",,,"Mine Resistant Ambush Protected Vehicle (MRAP) | This policy is for internal use only and does not enlarge an employee’s civil liability in any | way. The policy should not be construed as creating a higher duty of care, in an evidentiary | sense, with respect to third party civil claims against emp",N/A,Approved,11-12
RPT_006,Policy/Correspondence,,,Cabot Police Department,,Crew announces “FIRE!” and gives the location; | Crew checks for casualties and uses fire blanket if equipped and/or required | Vehicle commander notifies Chain of Command of the incident. | Crew uses available fire extinguishers to suppress fire. | Vehicle commander orders “Bail out!” and gives dir,N/A,Training Completed,13-14
RPT_007,LESO Intended Use Declaration,"May 29, 2015",,Craighead County Sheriff's Office,Sheriff Marty Boyd,"As of the 29"" day of May 2015, the Craighead County Sheriff's Office has implemented a policy | of the operation and training of the MRAP vehicle obtained through the LESO/1033 program. The | purpose of this vehicle is to be utilized by the Craighead County Special Weapons and Tactics team for | the",N/A,Policy Implemented,15-17
RPT_008,Training Lesson Plan,,,,Deputy Sheriffs Number,"CLEST Continuing Education Course Mine Resistant Ambush Protection Vehicle Operations | DURATION: TRAINING LEVEL: PREPARED BY: Randy Sharp | METHOD OF PRESENTATION: INSTRUCTOR: Randy Sharp | Lecture, Questions & Answers, Visual Presentation APPROVED BY: | LEARNING GOAL: The student will become famil",N/A,Approved,18
RPT_009,Policy/Correspondence,11 June 2015,"Van Buren, Arkansas 72956",Crawford County Sheriff's Office,Captain Shawis Firestine Chief,Craighead County Sheriff’s Office Mine Resistant Ambush Protection Vehicle | Primary Purpose: Special Response and Tactics / Operations | Completion of Basic MRAP Operations and / or equivalent training at the discretion of the | Jim Damante Ron Brown Captain Shawis Firestine | Chief Deputy : Sherif,N/A,Approved,19-20
RPT_010,Training Lesson Plan,"January 27, 2015",,Crawford County Sheriff's Office,Deputy Rick Dahlem Swat,"The following documentation is intended to document the intended use and training of the Mine Resistant | Ambush Protection Vehicle, which was allocated to the Crawford County Sheriff's Office, by the United States | The Crawford County Sheriff's Office recognizes this vehicle is the Property of the",N/A,"Respectfully,
Deputy Rick Dahlem
Swat Coordinator

LESO Liaison

COURSE: LESSON TITLE:",21
RPT_011,LESO Intended Use Declaration,"January 19, 2015",,Fort Smith Police Department,Deputy Rick Dahlem,"CLEET Continuing Education Course Mine Resistant Ambush Protection Vehicle Operations | DURATION: TRAINING LEVEL: PREPARED BY: Deputy Rick Dahlem | 5.0 Hours Swat Team Operators CLEET Instructor | METHOD OF PRESENTATION: , INSTRUCTOR: CLEET Instructor | Lecture, Questions & Answers, Visual Presentat",N/A,Approved,22-24
RPT_012,Training Lesson Plan,5/5/15,,Hot Springs Police Department,Ofc. Eric Wacaster Revisions,"CLEET Continuing Education Course Mine Resistant Ambush Protection Vehicle Operations | DURATION: TRAINING LEVEL: PREPARED BY: Cpl Monty McMillen | 5.0 Hours Swat Team Operators CLEET Instructor | Number of Trainees: 16 Date: June 30°, 2014 | METHOD OF PRESENTATION: INSTRUCTOR: CLEET Instructor",N/A,Approved,25-27
RPT_013,Policy/Correspondence,,,Hot Springs Police Department,Ofc. Zac Rostan,"Hot Springs Police Department S.W.A.T. Training | Purpose of the Course: To familiarize Hot Springs Police Department SWAT Operators with | basic MRAP functions, preventative maintenance, and driving operations of the MRAP. | Objectives: At the end of the block of instruction the students will be ab",N/A,Zac Rostan (See “Certification” for Qualifications),28-30
RPT_014,LESO Intended Use Declaration,05/21/2015,"Sheriff Batesville, Arkansas 72503",This letter is to inform you that the Independence County Sheriff's Office,Sheriff Batesville,"STEVE JEFFERY P.O. Box 4236 Tel: 870-793-8838 | Sheriff Batesville, Arkansas 72503 Fax: 870-612-6849 | This letter is to inform you that the Independence County Sheriff's Office has implemented policy for | the operation and training of the MRAP vehicle obtained through the LESO/1033 program. The pu",N/A,Policy Implemented,31-32
RPT_015,Training Lesson Plan,,,,,MRAP Driver Training Mine Resistant Ambush Protection Vehicle Operations | DURATION: TRAINING LEVEL: PREPARED BY: Brett Hibbs | 8.0 Hours Special Response Team Officers CLEET Instructor | METHOD OF PRESENTATION: INSTRUCTOR: Brett Hibbs | LEARNING GOAL: The student will become familiar with the basic,N/A,"TRAINEE REFERENCE MATERIALS: INSTRUCTOR REFERENCE:
MATERIALS: Instructor certified trough Smith IT

Smith IT driver trai",33
